Release Date,Date Added,#P,Active Params,Total Params,Model,Link,UGI 🏆,W/10 👍,I/10 📚,Unruly,Internet,Stats,Writing,PolContro,Reg+MyScore 🏆,Reg+Int 🏆,MyScore 🏆,ASSS⬇️,SMOG⬆️,Yule⬇️,Score 🏆,Dif,Cor,Std,Foundation
11/13/2023,7/31/2024,34,34.0,34.0,NousResearch/Nous-Capybara-34B,https://huggingface.co/NousResearch/Nous-Capybara-34B,31.88,6.363636364,1.669636012,62.5,22.5,24.2,38.2,12.0,0.128,0.237,0.05,10.30,9.81,1.34,0.000,2.20,NA,0.00,0
4/30/2024,,8,8.0,8.0,NousResearch/Hermes-2-Pro-Llama-3-8B,https://huggingface.co/NousResearch/Hermes-2-Pro-Llama-3-8B,31.69,6.363636364,1.233474796,29.2,32.5,16.5,40.9,39.3,0.070,0.201,0.00,11.21,10.02,1.72,0.037,2.73,-0.25,1.45,0
9/23/2023,,20,20.0,20.0,Undi95/MXLewd-L2-20B,https://huggingface.co/Undi95/MXLewd-L2-20B,31.63,7.272727273,2.397395849,30.8,3.4,44.9,36.0,43.0,0.099,0.082,0.10,5.14,6.36,1.91,0.028,2.80,-0.23,0.94,0
3/29/2024,9/10/2024,7,7.0,7.0,dreamgen/opus-v1.2-7b,https://huggingface.co/dreamgen/opus-v1.2-7b,31.55,7.454545455,2.058524901,49.2,10.0,33.3,28.9,36.3,0.097,0.152,0.05,8.47,6.33,2.01,0.108,2.67,0.19,0.93,0
7/18/2024,7/24/2024,236,236.0,236.0,deepseek-ai/DeepSeek-V2-Chat-0628,https://huggingface.co/deepseek-ai/DeepSeek-V2-Chat-0628,31.55,3.636363636,4.031201294,44.2,39.1,31.6,22.4,20.3,0.143,0.259,0.15,6.79,8.84,1.69,0.041,2.20,-0.32,0.79,1
5/23/2024,,35,35.0,35.0,CohereForAI/aya-23-35B,https://huggingface.co/CohereForAI/aya-23-35B,31.48,7.272727273,2.539803622,43.3,19.5,30.6,45.9,18.0,0.083,0.100,0.10,9.06,10.77,1.63,0.000,2.20,NA,0.00,1
9/25/2024,9/28/2024,8,8.0,8.0,DreadPoor/Aurora_faustus-8B-LINEAR,https://huggingface.co/DreadPoor/Aurora_faustus-8B-LINEAR,31.40,4.545454545,3.344036228,39.2,25.6,17.5,42.4,32.3,0.191,0.291,0.10,7.80,8.10,1.34,0.075,2.60,0.04,0.88,0
9/7/2024,9/8/2024,9,9.0,9.0,anthracite-org/magnum-v3-9b-customgemma2,https://huggingface.co/anthracite-org/magnum-v3-9b-customgemma2,31.35,7.727272727,1.732178546,39.2,5.3,32.0,45.5,34.7,0.118,0.149,0.05,9.60,7.68,1.27,0.057,2.53,-0.04,0.75,0
6/19/2024,,8,8.0,8.0,v000000/L3-8B-UGI-DontPlanToEnd-test,https://huggingface.co/v000000/L3-8B-UGI-DontPlanToEnd-test,31.26,7.272727273,2.239714176,21.7,15.3,36.9,39.5,43.0,0.132,0.174,0.10,8.36,10.19,1.49,0.075,2.60,0.04,0.88,0
7/5/2024,8/5/2024,9,9.0,9.0,TheDrummer/Smegmma-Deluxe-9B-v1,https://huggingface.co/TheDrummer/Smegmma-Deluxe-9B-v1,31.09,6.363636364,2.475645738,56.7,15.0,43.3,34.5,6.0,0.195,0.233,0.15,7.32,7.12,1.64,0.132,2.33,0.08,1.09,0
